Designator,Mid X,Mid Y,Rotation,Layer
C1,40.975,-7.99,180.0,top
C10,47.175,-16.2,180.0,top
C11,49.5,-12.44,270.0,top
C12,43.975,-16.99,0.0,top
C13,42.5,-24.25,90.0,top
C14,44.0,-24.25,90.0,top
C15,35.725,-28.0,0.0,top
C16,40.225,-23.475,180.0,top
C17,38.425,-28.8,90.0,top
C18,28.500001,-23.5,270.0,top
C19,4.75,-12.0,90.0,top
C2,40.975,-9.5,180.0,top
C20,20.0,-32.0,180.0,top
C3,40.975,-18.48,180.0,top
C4,40.975,-19.99,180.0,top
C5,23.225,-15.49,180.0,top
C6,23.225,-14.0,180.0,top
C7,23.225,-12.51,180.0,top
C8,40.975,-10.99,180.0,top
C9,40.975,-16.99,180.0,top
D1,19.77,-47.75,0.0,top
D2,19.77,-41.0,0.0,top
H1,3.5,-3.5,0.0,top
H2,61.5,-3.5,0.0,top
H3,3.5,-52.5,0.0,top
H4,61.5,-52.5,0.0,top
J1,32.53,-3.49,270.0,bottom
J2,55.975,-28.5,270.0,top
J3,14.08,-53.0,90.0,top
J4,28.0,-53.0,90.0,top
L1,32.25,-14.0,180.0,top
L2,33.975,-23.5,180.0,top
M1,10.0,-22.46,180.0,top
M2,10.0,-32.0,180.0,top
M3,54.0,-40.0,0.0,top
R1,44.175,-11.0,180.0,top
R2,47.175,-11.7,0.0,top
R3,47.175,-13.19,0.0,top
R4,47.175,-14.7,0.0,top
R5,44.175,-9.51,0.0,top
R6,41.425,-28.8,270.0,top
R7,39.925,-28.8,90.0,top
SW1,53.25,-14.0,180.0,top
SW2,11.75,-43.0,0.0,top
U1,42.375,-14.0,180.0,top
U2,40.26,-25.725,180.0,top
